id,bid,user_id,用户昵称,content,头条文章url,发布位置,艾特用户,话题,repost_num,comment_num,like_num,created_at,tool,微博图片url,微博视频url,retweet_id
4.61E+15,K4esSaKav,1795548274,中事,拿了中方疫苗后，土耳其转身立即翻脸，对中国“泼脏水”#中时##美国一对夫妻感染新冠死在家中#L中时的微博视频,,,,"中时,美国一对夫妻感染新冠死在家中",6,17,55,2021/3/1 23:59,中国时政Android,,"http://f.video.weibocdn.com/0014h8OQgx07KL1ndb7h01041200fOVd0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1621205299&ssig=2zlSqLIZcW&KID=unistore,video",
4.61E+15,K4esqpayz,1726847380,史丹利澳門,"【澳門】逾3萬人次已預約接種新冠疫苗新型冠狀病毒感染應變協調中心表示，截至3月1日下午4時，共有34,106人次預約接種新冠疫苗，其中，完成接種疫苗有15,094人次。",,,,,0,0,0,2021/3/1 23:58,新版微博 weibo.com,,,
4.61E+15,K4esqrn4Q,7482490945,福建顺馨,【世卫专家：#全球近10%人口有新冠病毒抗体#】#全球近10%人口具有新冠病毒抗体#近日，世界卫生组织首席科学家苏米娅?斯瓦米纳坦指出，据最新统计，发现全球只有近10%人口具有新冠病毒的抗体。她强调，接种疫苗是实现全球范围内集体免疫的唯一方法。（视频来源世卫组织官方社交账号）@中新视频L中新视频的微博视频,,,中新视频,"全球近10%人口有新冠病毒抗体,全球近10%人口具有新冠病毒抗体",0,0,0,2021/3/1 23:58,微博视频号,,"http://f.video.weibocdn.com/qVqMKxxtlx07KKtqjRwk0104120061t90E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1621205299&ssig=GmmUEzvL0K&KID=unistore,video",
4.61E+15,K4eslEhyq,6405028017,Amaze美新商社,#美众院通过1.9万亿美元刺激计划##FDA批准强生单剂量新冠疫苗#【早盘：美股继续上扬道指上涨600点】美股周一早盘继续上扬，道指上涨600点。全球国债收益率的下滑、第三种新冠疫苗在美国获准使用，提振了风险情绪。1.9万亿美元抗疫纾困刺激计划在美众议院获得通过后，已提交参院表决。道指涨597.79点，或1.93%，报31530.16点；纳指涨233.37点，或1.77%，报13425.72点；标普500指数涨68.55点，或1.80%，报3879.70点。O早盘：美股继续上扬道指上涨600点,,,,"美众院通过1.9万亿美元刺激计划,FDA批准强生单剂量新冠疫苗",0,0,0,2021/3/1 23:58,,['http://ww1.sinaimg.cn/large/006ZsQnvly1go4ui29js0j30qn0hsgpy.jpg'],,
4.61E+15,K4es7vxsQ,2005134611,冰点绿豆,接种新冠疫苗后还要注意什么O接种新冠疫苗后还要注意什么,,,,,0,0,0,2021/3/1 23:57,iPhone客户端,['http://ww2.sinaimg.cn/large/7783ed13ly1go4uhig461j208c08cq34.jpg'],,
4.61E+15,K4es37ZnN,2659523842,黔东南新闻网官方微博,【世卫专家：#全球近10%人口有新冠病毒抗体#】#全球近10%人口具有新冠病毒抗体#近日，世界卫生组织首席科学家苏米娅?斯瓦米纳坦指出，据最新统计，发现全球只有近10%人口具有新冠病毒的抗体。她强调，接种疫苗是实现全球范围内集体免疫的唯一方法。（视频来源世卫组织官方社交账号）@中新视频L中新视频的微博视频,,,中新视频,"全球近10%人口有新冠病毒抗体,全球近10%人口具有新冠病毒抗体",0,0,0,2021/3/1 23:57,微博视频号,,"http://f.video.weibocdn.com/qVqMKxxtlx07KKtqjRwk0104120061t90E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1621205299&ssig=GmmUEzvL0K&KID=unistore,video",
4.61E+15,K4es0nTni,6412948307,玉树临风9040,打新冠疫苗了吗？你最关心的都在这@QQ浏览器O打新冠疫苗了吗？你最关心的都在这,,,QQ浏览器,,0,0,0,2021/3/1 23:57,nova 5i Pro,['http://ww4.sinaimg.cn/large/007004O7ly1go4uh9k84zj308c08c74l.jpg'],,
4.61E+15,K4es08tDX,1726847380,史丹利澳門,【澳門】正安排政府部門社團及機構等集體前往接種站接種新型冠狀病毒感染應變協調中心表示，截至3月1日為止，本澳共有3萬4千多位人士預約接種新冠病毒疫苗，相關接種數字符合當局預期，各疫苗接種站亦運作暢順。衛生當局正聯絡各政府部門、社團及機構，提供集體接種，然而相關集體接種的操作形式，將有別於過去衛生當局接種人員前往辦公地點，為接種者上門提供接種的方式，而是邀請相關政府部門、學校、社團及機構等，集體前往衛生當局的接種站進行接種。稍後當局亦會聯絡各大博企及其他組織機構等，安排以上方式進行集體接種。另外，當局亦會因應現階段的疫苗接種進度，考慮第三階段接種的開放時間。,,,,,0,0,0,2021/3/1 23:57,新版微博 weibo.com,,,
4.61E+15,K4erEvQJA,7088193589,一个没有感情的打板机器,没有什么比一个人在医院更让人难过了，打个新冠疫苗副作用这么强么,,北京·北京友谊医院(西城院区),,,0,12,13,2021/3/1 23:56,三星android智能手机,"['http://ww3.sinaimg.cn/large/007JHkX3ly1go4ufknctaj30k00zkwgm.jpg', 'http://ww1.sinaimg.cn/large/007JHkX3ly1go4ufl84o6j30u01hcjvx.jpg', 'http://ww3.sinaimg.cn/large/007JHkX3ly1go4ufpu1n1j30u01hc0w9.jpg']",,
4.61E+15,K4erwArok,5872828878,内蒙古反邪教,【世卫专家：#全球近10%人口有新冠病毒抗体#】#全球近10%人口具有新冠病毒抗体#近日，世界卫生组织首席科学家苏米娅?斯瓦米纳坦指出，据最新统计，发现全球只有近10%人口具有新冠病毒的抗体。她强调，接种疫苗是实现全球范围内集体免疫的唯一方法。（视频来源世卫组织官方社交账号）L中新视频的微博视频,,,,"全球近10%人口有新冠病毒抗体,全球近10%人口具有新冠病毒抗体",23,20,18,2021/3/1 23:56,微博视频号,,"http://f.video.weibocdn.com/qVqMKxxtlx07KKtqjRwk0104120061t90E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1621205299&ssig=GmmUEzvL0K&KID=unistore,video",
4.61E+15,K4erurX5j,3263001512,爱上红柳,我正在看【打新冠疫苗了吗？你最关心的都在这】，分享给你，一起看吧！O打新冠疫苗了吗？你最关心的都在这,,,,,0,0,0,2021/3/1 23:56,EMUI浏览器,,,
4.61E+15,K4ergkjYY,6321939334,菏泽银座和谐广场,【世卫专家：#全球近10%人口有新冠病毒抗体#】#全球近10%人口具有新冠病毒抗体#近日，世界卫生组织首席科学家苏米娅?斯瓦米纳坦指出，据最新统计，发现全球只有近10%人口具有新冠病毒的抗体。她强调，接种疫苗是实现全球范围内集体免疫的唯一方法。（视频来源世卫组织官方社交账号）@中新视频L中新视频的微博视频,,,中新视频,"全球近10%人口有新冠病毒抗体,全球近10%人口具有新冠病毒抗体",0,0,0,2021/3/1 23:55,iPhone客户端,,"http://f.video.weibocdn.com/qVqMKxxtlx07KKtqjRwk0104120061t90E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1621205299&ssig=GmmUEzvL0K&KID=unistore,video",
4.61E+15,K4eqVEddO,1855927133,秋色亦枫,"我分享了【打新冠疫苗了吗？你最关心的都在这】,快来看吧！|O打新冠疫苗了吗？你最关心的都在这",,,,,0,0,0,2021/3/1 23:54,小米浏览器,['http://ww1.sinaimg.cn/large/6e9f335dly1go4ueh567mj20f00xcgo2.jpg'],,
4.61E+15,K4eqdCw92,1202968283,乐天凌,世界卫生组织首席科学家苏米娅·斯瓦米纳坦表示，全球近10%人口已经有新冠病毒抗体，继续接种疫苗，是达成“集体免疫”的唯一方法。#全球近10%人口具有新冠病毒抗体#@中新视频L中新视频的微博视频,,,中新视频,全球近10%人口具有新冠病毒抗体,0,2,3,2021/3/1 23:53,兵来兵往Android,,"http://f.video.weibocdn.com/qVqMKxxtlx07KKtqjRwk0104120061t90E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1621205299&ssig=GmmUEzvL0K&KID=unistore,video",
4.61E+15,K4epQj8I3,1297954675,今日女报,【世卫专家：#全球近10%人口有新冠病毒抗体#】#全球近10%人口具有新冠病毒抗体#近日，世界卫生组织首席科学家苏米娅?斯瓦米纳坦指出，据最新统计，发现全球只有近10%人口具有新冠病毒的抗体。她强调，接种疫苗是实现全球范围内集体免疫的唯一方法。（视频来源世卫组织官方社交账号）@中新视频L中新视频的微博视频,,,中新视频,"全球近10%人口有新冠病毒抗体,全球近10%人口具有新冠病毒抗体",0,0,0,2021/3/1 23:52,微博视频号,,"http://f.video.weibocdn.com/qVqMKxxtlx07KKtqjRwk0104120061t90E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1621205299&ssig=GmmUEzvL0K&KID=unistore,video",
4.61E+15,K4epJczzM,2833288482,Joan小古_,全球近10%人口具有新冠病毒抗体虽然但是疫苗还是要接种比较妥当啊！,,,,,0,0,1,2021/3/1 23:51,抓住李诗艳超话,,,
